Brand,SKU,Title,Price,URL,Description,Note,Dimensions (Cms),Materials,Product Finish,Estimate Shipping,Care Instructions,Image URLs
LAKKADHAARA,CT-5,Rewa Nesting Table,"Rs. 18,000.00",https://www.lakkadhaara.com/products/rewa-nesting-table,"The Rewa Nesting Table is made from high-quality mango wood and rattan, giving it a unique and natural look. With its sturdy construction and stylish design, this table provides both functionality and aesthetic appeal to any space. Perfect for small homes or for entertaining guests.","Please Note, Our handcrafted wooden products are designed to breathe with the seasons, so don't be surprised if you notice some delightful changes in their appearance due to natural shifts in humidity. It's all part of the wood's unique character.","Large table: 70cm x 36cm x 70cm (WxHxD)
Small table: 50cm x 30cm x 50cm (WxHxD)
Table legs: 2cm x 2cm (WxD)",N/A,N/A,N/A,N/A,"https://www.lakkadhaara.com/cdn/shop/files/RewaNestingTable5.png?v=1705145345&width=1946, https://www.lakkadhaara.com/cdn/shop/files/RewaNestingTable3.jpg?v=1705145346&width=1946, https://www.lakkadhaara.com/cdn/shop/files/RewaNestingTable4.jpg?v=1705145345&width=1946, https://www.lakkadhaara.com/cdn/shop/files/RewaNestingTable2.jpg?v=1705145345&width=1946, https://www.lakkadhaara.com/cdn/shop/files/RewaNestingTable1.jpg?v=1705145345&width=1946"
LAKKADHAARA,Coffee-11,Namibia Coffee Table,"Rs. 12,000.00",https://www.lakkadhaara.com/products/namibia-coffee-table,"The Namibia Coffee Table is the perfect addition to any living space. Made of solid wood, this round table is strong and stylish, perfect for entertaining and decorating. Its durable design provides a timeless look that is sure to match any existing décor.","Please Note, Our handcrafted wooden products are designed to breathe with the seasons, so don't be surprised if you notice some delightful changes in their appearance due to natural shifts in humidity. It's all part of the wood's unique character.","Diameter: 80 cm
Height: 45 cm
Weight: 12 kg
Thickness of the tray: 2 cm",N/A,N/A,N/A,N/A,"https://www.lakkadhaara.com/cdn/shop/files/NewProject-22_d88e5322-c0db-4846-a25c-dbc063edb698.png?v=1693813558&width=1946, https://www.lakkadhaara.com/cdn/shop/files/custom_resized_7487c898-27ad-4067-b23e-7ab5b0eb47e5.jpg?v=1693813623&width=1946, https://www.lakkadhaara.com/cdn/shop/files/custom_resized_2ed0394b-6b1c-4a20-a142-8f8d89de416a.jpg?v=1693813623&width=1946, https://www.lakkadhaara.com/cdn/shop/files/custom_resized_a8fc8fb1-f3de-4381-87ab-245b9d053437.jpg?v=1693813623&width=1946, https://www.lakkadhaara.com/cdn/shop/files/custom_resized_8e288e0d-c974-4235-8b0e-aeeea23bd94b.jpg?v=1693813623&width=1946"
